Counter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z	
61088	0.109760	0.065057	9.958834	-0.070491	-0.053399	0.288441	0.178907	0.308849	0.346803	0.318036	-1.671712	-2.653303	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61089	0.252743	0.375349	9.866156	-0.069481	-0.047950	0.271458	0.173489	0.316571	0.339198	0.283433	-1.693443	-2.521502	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61090	0.180830	0.879155	9.876741	-0.027108	-0.019141	0.200858	0.180840	0.310177	0.346254	0.270312	-1.701217	-2.423125	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61091	0.929485	1.158134	9.747242	-0.011645	-0.044919	0.095270	0.174818	0.315823	0.338912	0.266453	-1.721217	-2.375483	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61092	1.147119	0.753553	9.522395	-0.023958	-0.072286	0.040555	0.180600	0.308526	0.346024	0.257093	-1.753990	-2.353734	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61093	0.555707	0.486116	9.560735	-0.053333	-0.012699	0.028904	0.174145	0.317254	0.339006	0.234656	-1.758841	-2.337727	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61094	0.239962	0.110364	9.679176	-0.062163	0.010680	0.021271	0.181537	0.308899	0.346556	0.207325	-1.751950	-2.324745	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61095	0.193345	-0.067380	9.813956	-0.067572	0.027244	0.024094	0.174645	0.315476	0.339832	0.178138	-1.737642	-2.310967	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61096	0.249294	-0.027591	9.904146	-0.059991	0.032071	0.032393	0.180777	0.308181	0.348330	0.151688	-1.720541	-2.293070	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61097	0.305378	0.129005	9.867942	-0.052317	0.039601	0.017264	0.174739	0.314950	0.340403	0.129893	-1.700290	-2.282554	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61098	0.369958	0.344325	9.774522	-0.036170	0.035898	-0.018248	0.181075	0.307871	0.347194	0.115543	-1.681297	-2.288368	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61099	0.572471	0.544053	9.762589	-0.015618	0.029099	-0.090880	0.173632	0.315074	0.339821	0.113071	-1.666072	-2.329535	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61100	0.659374	0.406931	9.727663	-0.030938	0.014342	-0.126310	0.179580	0.308694	0.347450	0.102712	-1.657275	-2.387656	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61101	0.381262	0.178728	9.678463	-0.029589	0.021157	-0.121681	0.172556	0.315782	0.340415	0.094155	-1.645984	-2.443550	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61102	0.130754	-0.117816	9.688803	-0.042030	0.017026	-0.096479	0.178746	0.307802	0.348289	0.078071	-1.635950	-2.486922	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61103	0.046086	-0.255299	9.774796	-0.040594	0.024525	-0.080079	0.174187	0.315300	0.341230	0.063514	-1.622956	-2.522944	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61104	0.045585	-0.209755	9.867269	-0.052184	0.008580	-0.060106	0.178329	0.308209	0.349933	0.042076	-1.616995	-2.549121	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61105	0.074560	-0.149455	9.851701	-0.049529	0.011398	-0.030927	0.171790	0.316471	0.340927	0.022434	-1.610144	-2.561675	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61106	0.233966	-0.102042	9.765738	-0.051516	-0.005250	-0.029348	0.178091	0.308117	0.350698	0.000898	-1.610809	-2.573128	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61107	0.311891	0.013645	9.761576	-0.052960	-0.026948	-0.016009	0.172847	0.315479	0.341939	-0.020629	-1.622266	-2.578557	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61108	0.340112	0.208915	9.785014	-0.036531	-0.030462	-0.032574	0.178174	0.307861	0.348993	-0.034963	-1.634978	-2.591447	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61109	0.439073	0.380669	9.798303	-0.037928	-0.040335	-0.056158	0.172961	0.315521	0.341157	-0.048564	-1.652914	-2.616048	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61110	0.621083	0.359874	9.768786	-0.046538	-0.044375	-0.095136	0.177810	0.307436	0.349486	-0.066802	-1.672306	-2.658887	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61111	0.559910	0.136018	9.745826	-0.048952	-0.045501	-0.131473	0.171887	0.315522	0.341518	-0.084430	-1.692976	-2.719454	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61112	0.140835	-0.013654	9.748673	-0.023759	0.003564	-0.146059	0.178170	0.309275	0.349460	-0.091051	-1.689538	-2.786550	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61113	-0.036391	-0.342513	9.758923	-0.034995	0.044631	-0.154942	0.172833	0.314619	0.340379	-0.101821	-1.667035	-2.858392	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
