Counter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z	
45116	0.317661	-0.195766	9.769176	0.064393	0.031696	-0.193344	0.331037	0.150503	0.342454	-1.563290	-1.456040	3.155214	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45117	0.365370	-0.102373	9.785101	0.077137	0.036884	-0.206047	0.333781	0.151126	0.344641	-1.520546	-1.441541	3.058665	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45118	0.273237	-0.464726	9.738847	0.061028	0.044417	-0.190217	0.332255	0.151736	0.342550	-1.485952	-1.422338	2.971307	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45119	0.140774	-0.675231	9.721710	0.033531	0.056835	-0.188606	0.332296	0.152503	0.345434	-1.464514	-1.397950	2.882864	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45120	-0.021698	-0.659440	9.730238	0.044382	0.050137	-0.170940	0.330216	0.154038	0.344017	-1.438159	-1.375703	2.800833	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45121	-0.300591	-0.541588	9.831100	0.033624	0.031950	-0.109424	0.331987	0.153485	0.347198	-1.417894	-1.361889	2.750513	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45122	-0.295151	-0.416528	9.897627	0.019735	0.042762	-0.046657	0.329037	0.153241	0.343107	-1.404759	-1.341645	2.731460	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45123	0.044993	-0.366530	9.841265	0.033537	0.035221	-0.051875	0.331144	0.154259	0.346118	-1.385305	-1.325315	2.708581	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45124	0.350768	-0.321013	9.821872	0.038504	0.000884	-0.076120	0.329028	0.154766	0.344220	-1.362904	-1.325385	2.673493	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45125	0.477857	-0.235483	9.847889	0.028667	-0.007772	-0.100783	0.331426	0.154206	0.344301	-1.345272	-1.330238	2.627764	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45126	0.442957	-0.127042	9.804673	0.043370	-0.009834	-0.117698	0.328040	0.154102	0.343063	-1.320084	-1.335862	2.575567	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45127	0.315038	-0.039473	9.754455	0.031442	-0.007701	-0.122087	0.330580	0.155653	0.345440	-1.300774	-1.340979	2.519662	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
